Date,Close,High,Low,Open,Volume
,CSCO,CSCO,CSCO,CSCO,CSCO
2017-10-10,26.73488998413086,27.02176261992327,26.67114219829181,26.997857580209462,18011000
2017-10-11,26.76677131652832,26.798646736400556,26.495836327229025,26.59942992191011,12561400
2017-10-12,26.503803253173828,26.663177310267514,26.432085079472035,26.503803253173828,17905600
2017-10-13,26.67115020751953,26.75083572369922,26.551618893442413,26.615369738232232,13578800
2017-10-16,26.726926803588867,26.806612308220675,26.671146342385175,26.77473689044509,10509100
2017-10-17,26.774734497070312,26.83051495328783,26.663173584635278,26.766767163242186,9303100
2017-10-18,26.73488998413086,26.894264008438498,26.647234118771323,26.870358968724688,9971200
2017-10-19,26.894271850585938,27.00583278818953,26.65521226432002,26.703022357688663,13203100
2017-10-20,27.292699813842773,27.404260728172584,27.101450360843863,27.109420734614236,24361400
2017-10-23,27.37238883972168,27.635356491503508,27.30864104037923,27.452077388658893,22632000
2017-10-24,27.55567169189453,27.62738682807361,27.292704033341643,27.412235339921576,16280200
2017-10-25,27.332544326782227,27.67519746565017,27.220983405254454,27.67519746565017,17400900
2017-10-26,27.308639526367188,27.499885953599012,27.149265477135895,27.42020044888694,14616100
2017-10-27,27.436140060424805,27.587543745800097,27.165205069885033,27.213018199912298,20356600
2017-10-30,27.1253604888916,27.39629546119408,26.950048730399658,27.197078659201292,18345100
2017-10-31,27.2130126953125,27.284730855942694,27.06160600075612,27.07754370754136,13935100
2017-11-01,27.58753776550293,27.691131338201792,27.31660283369516,27.324573206875606,22051300
2017-11-02,27.260820388793945,27.603473455155587,27.220977645223016,27.531755300805326,19827600
2017-11-03,27.468017578125,27.483955289351222,27.117394010763306,27.31661084137969,13414400
2017-11-06,27.42020034790039,27.539731644335422,27.300669051465363,27.3883249302101,12786900
2017-11-07,27.4122314453125,27.475979237239365,27.260824739848132,27.34848061357867,11332900
2017-11-08,27.49191665649414,27.49191665649414,27.18910628855203,27.340512992426554,13061300
2017-11-09,27.133331298828125,27.348485837315256,26.989894939836702,27.324580790752535,16785000
